"","se_a00002_002","se_a00002_003","pct_se_a01001_005","pct_se_a01001_008","pct_se_a01001_009","pct_se_a01001_013","pct_se_a03001_006","pct_se_a03001_007","pct_se_a03001_008","pct_se_a10008_005","pct_se_a10002b_003","pct_se_a10002b_004","pct_se_a10002b_005","pct_se_a10002b_006","pct_se_a10002b_007","pct_se_a10002b_008","pct_se_a12001_004","pct_se_a12001_008","pct_se_a09005_010","pct_se_a09005_004","pct_se_a09005_005","pct_se_a09005_007","pct_se_a09001_005","pct_se_a09001_006","pct_se_a09001_008","pct_se_a09001_009","se_t006_001","se_t009_001","se_t012_001","se_t012_002","se_t012_003","min_dist","mar_precipitation_inch","may_precipitation_inch","jul_precipitation_inch","aug_precipitation_inch","sep_precipitation_inch","nov_precipitation_inch","ep_unemp","ep_groupq","all_icu","case_ind1","met2","met1_1","contained","omicron_quartile","com_lev_ind"
"2022",6.27159,1118.695629,3.46,10.33,12.7,3.46,0,0.74,2.07,3.27,31.51,6.55,8.46,1.64,0.41,0,35.4,0.23,9.91,0.09,0.56,1.11,13.91,7.98,1.29,1.58,9.986320109,14,10.82421048,74.67961689,38.5,43477.8001585879,0.56,1.46,2.66,1.84,6.29,0.6,2.8,2.6,0,514.630201440965,0.0942760942760943,48.1788398535363,0,0,0
"2023",4.13371,1018.455548,2.73,8.19,12.52,3.94,0,0.07,0.59,1.7,19.19,12.36,4.98,3.14,2.77,0,37.34,0,5.4,0,0,0,6.31,4.19,4.04,1.52,9.337676439,10.6,5.856228283,71.67775993,36.2,83712.263031724,0.02,1,2.11,1.96,5.59,0.45,1,3.9,0,352.201257861635,0,0,0,0,0
"2024",9.736758,1186.945348,4.21,9.9,12.66,2.62,0,0.24,3.35,4.3,23.48,9.62,6.28,3.54,0,0.71,36.77,0.32,9.33,0,0,1.16,10.01,3.74,1.14,2.65,7.9004329,10.2,3.977168509,76.76185486,30.4,23075.9588949254,0.41,1.58,2.82,2.49,4.37,0.62,0.8,4.2,0,277.801892525393,0,2.50852899859522,0,0,0
"2025",6.216683,862.3568974,4.07,10.89,14.83,5.24,0,0.35,1.81,3.84,30.9,9.16,3,1.57,0,4.29,33.9,0.71,13.5,0,0,0.04,15.78,9.49,2.71,1.7,8.51910828,15.2,3.720426668,70.75316108,33,57712.2449713201,1.31,3.27,4.02,3.15,5.06,0.27,1.3,2.9,0,114.986584898429,0.110256115768922,30.0638857572341,0,0,1
"2026",2.844754,877.0530458,2.4,10.54,14.19,3.13,0,0.52,1.72,4.7,11.86,14.95,3.09,6.19,5.15,2.06,42.38,0.29,10.29,0,0,0,13.89,11.05,5.77,7.2,8.103448276,7.2,12.10296912,49.63562753,29.7,43554.1271954527,0,0.73,2.95,2.78,6.95,0.71,1.9,2,0,601.633003867641,0.204065040650407,1.15569526627219,0,0,0
"2027",11.34449,1435.762785,3.6,10.17,11.55,2.65,0,1.11,2.79,3.85,32.59,11.12,5.3,2.81,0,0.42,41.51,0.37,10.27,0.09,0.2,0.66,8.42,11.1,2.9,0.99,7.170435742,8.8,8.188043974,57.55162061,35.8,17173.6153128702,1.62,3.52,4.2,3.93,5.34,0.26,3,7.7,0,333.807257217037,0.110256115768922,30.0638857572341,0,0,1
"2028",16.17031,903.0751216,4.71,10.83,11.61,1.31,0,0.27,2.33,8.56,23.97,19.4,12.39,6.19,2.95,1.92,41.12,0.37,5.13,0.14,0,0.7,14.78,4.33,0.9,1.97,13.63173957,14.9,3.864678359,64.00947119,43,98684.0230520112,0.01,0.91,2.24,2.42,4.47,0.29,7.9,1.1,0,550.225733634311,0,0,0,0,0
"2029",4.522975,858.5056116,3.3,10.28,12.85,3.32,0,0,1.34,5.45,33.2,3.73,6.88,5.89,1.38,0,37.45,0.14,7.19,0.24,0.72,0.38,8,10.01,1.72,0.62,8.551068884,11.4,5.056354943,61.71324106,31.5,55834.4380429343,1.6,3.67,4.15,3.82,6.36,0.28,1.3,1,0,461.775269368907,0.110256115768922,30.0638857572341,0,0,1
"2030",1.444905,972.38255,2.85,7.4,15.44,3.77,0,0,1.07,6.53,22.63,5.11,7.3,0,6.57,0,37.23,0,12.05,0,0.86,0.69,12.39,5.51,9.12,2.07,18.70229008,4,22.67973618,46.9341408,37.4,47797.0363711488,0.33,2.03,3.48,3.59,7.38,0.74,2.6,0,0,76.0456273764259,0.11977886977887,30.0679535750797,1,0,1
"2031",4.033473,1094.094212,5.89,11.31,11.96,0.5,0.05,0.68,2.38,11.62,18.91,17.27,17.6,10.2,7.24,9.87,35.57,0.63,11.47,0,0,1.76,13.84,8.79,6.04,0.54,11.48148148,21,26.24688727,22.80279316,39,35958.9782754604,0.82,4.05,3.91,2.93,5.2,0.84,16,1.1,0,307.328605200946,0.11977886977887,30.0679535750797,0,0,0
"2032",0.5794775,1214.88763,2.7,10.23,10.09,4.26,0,0,0.85,3.65,21.31,11.48,1.64,8.2,0,0,34.74,0,5.71,0,0,0.9,8.71,15.62,2.1,5.71,18.60465116,11.1,25.84074736,64.23658872,27.1,57277.1876475115,0.34,3.7,4.12,2.15,4.85,0.66,1.2,0,0,400,0,0,1,0,0
"2033",23.13177,1334.787911,3.7,11.78,11.61,2.14,0.02,0.74,2.65,3.52,25.44,10.68,9.96,2.18,2.42,1.4,35.91,0.93,9.11,0,0.32,0.4,9.8,5.95,2.87,3.77,6.634544107,7.3,3.515768932,75.98661102,33.5,81606.5770726143,0.22,3.49,3.31,2.6,6.07,0.46,3.3,2.7,4,514.465368858967,0.242268041237113,1.42619104779879,0,0,0
"2034",2.681796,712.2093353,2.93,9.16,13.09,2.15,0,0,0,2.02,44.93,2.9,8.7,4.35,0,0,39.66,0.5,7.98,0,0.51,0.61,15.44,5.01,3.68,1.23,8.31408776,13.9,20.79674132,34.37974684,34.9,61768.8629327886,0.84,2.52,4.17,4.4,5.95,0.44,2.2,0,0,211.640211640212,0.110256115768922,30.0638857572341,0,0,0
"2035",9.480821,2221.748499,3.35,10.98,11.76,3.55,0.06,0.77,2.82,3.24,26.79,8.28,5.56,3.12,0.31,1.33,32.92,0.48,9.83,0.19,0.06,1.36,8.91,4.49,0.65,2.8,7.299102003,10.8,7.507895802,81.15165877,32.2,30977.8359831226,0.64,2.31,4.41,3.1,5.95,0.39,3.3,7.9,6,391.228748068006,0,138.026224982747,0,0,0
"2036",2.192165,1024.558063,4.27,11.8,13.85,4.27,0,0.13,4.23,1.93,46.72,2.05,6.97,0,2.05,3.69,41.64,0.48,8.66,0,0,0.72,10.72,7.22,0.62,1.24,12.88343558,10.6,6.596091015,60.46304541,35.8,70116.7275373486,0.02,0.94,2.56,2.36,4.74,0.21,4.1,1.4,0,274.097761534947,0,0,1,0,0
"2037",9.303332,861.9491735,4.04,10.64,12.83,3.85,0.21,1.26,1.4,4,20.28,11.53,4.38,2.35,2.88,1.49,40.35,0.61,11.75,0,0.43,0.65,14.25,8.82,2.92,1.3,6.70212766,13,2.931231617,65.32446743,37.6,7033.36140004412,1.12,2.44,4.5,4.66,6.09,0.55,3,4.9,0,584.868093578895,0.110256115768922,30.0638857572341,0,0,1
"2038",8.428076,1281.668653,3.58,9.75,13.37,3.55,0,2.07,1.29,5.99,26.29,8.65,7.34,5.5,1.75,0.96,35.18,0.21,10.22,0,0.8,0.32,14.34,8.56,2.27,1.57,10.20086648,9.9,4.179865169,66.03111791,34.3,61484.7903153932,0.74,1.69,3.16,2.25,5.19,0.86,2.5,3.7,0,338.31406822667,0.0942760942760943,48.1788398535363,0,0,0
"2039",34.29401,2013.004539,3.03,11.72,10.49,1.9,0.12,1.36,3.41,4.72,30.95,14.32,6.8,4.6,1.89,0.78,34.04,0.58,9.46,0.09,0.04,0.34,12.79,4.64,3.62,3.36,6.363414931,8.8,11.54602982,79.47142278,33.3,29362.8573283413,0.04,0.98,2.62,2.81,7.4,0.61,2.9,3.2,19,332.638488490708,0.204065040650407,1.15569526627219,0,0,0
"2040",3.191337,1270.627391,2.59,8.38,12.21,4.73,0,0.72,1.16,2.19,27.14,3.77,5.78,1.51,0,0.25,28.7,0.77,12.52,0,0,1.2,15.81,5.11,0.42,3.29,8.17535545,9.7,8.638756413,3.185167578,36.1,93166.459307578,0.12,1.56,2.64,3.18,7.7,0.52,2.7,2.4,0,365.153886280647,0,138.026224982747,0,0,0
"2041",16.39168,2077.945022,4.17,11.83,10.8,1.46,0.05,4.51,5.05,6.71,27.93,14.51,7.62,5.61,0.22,1.66,40.83,0.35,9.58,0.14,0.07,0.34,8.33,4.29,3.24,1.79,9.300145803,9.4,3.887428431,78.96240736,36.9,30082.1258308441,0,1.1,3.3,2.51,6.14,0.59,2.3,1.8,0,404.373619942004,0.101818181818182,0.520285610786041,0,0,0
"2042",47.74716,583.8671438,4.4,12.1,13.67,1.61,0,0.18,1.77,6.77,22.24,13.93,16.36,4.47,1.32,2.73,22.65,0.24,12.75,0,0,1.49,18.2,15.07,12.72,9.17,6.528103045,16.1,4.04875226,41.70928196,32.2,44967.918393599,3.56,4.02,3.79,5,0.4,3.79,7.1,1.4,0,205.791031843454,0.0778232722846235,51.4571148874219,0,0,1
"2043",257.4933,402.503746,4.05,11.7,12.31,2.32,0,0.89,3.41,4.74,23.73,16.08,11.59,6.38,1.66,0.49,33.24,0.76,8.28,0.24,0.13,0.89,20.54,9.02,1.99,1.44,5.286092446,13.2,4.6435345,75.83489293,34,15836.3899183866,3.81,7.38,4.97,3.03,2.74,1.41,6,3.8,62,434.778360739026,0.140243902439024,20.7349821051264,0,0,1
"2044",126.4347,422.9613543,4.35,10.67,13.08,2.15,0,0.43,1.38,4.02,25.21,16.04,11.9,5.75,2.52,2.09,24.76,0.93,6.73,0.14,0.26,0.61,19.79,13.41,5.34,2.28,5.648052258,10.8,1.364048832,60.04441183,33.3,47880.1306255524,3.25,3.83,5.89,3.62,2.38,1.84,4.1,4.2,6,207.538703163563,0.0932463545663853,402.761795166859,0,0,1
"2045",139.7804,702.0727756,4.07,11.52,14.03,2.33,0.05,0.54,2.27,5.37,23.75,10.75,11.82,4.94,2.07,2.53,27.43,0.38,8.51,0.05,0.08,0.68,18.09,11.76,5.76,2.45,5.759115227,13.8,10.41362259,73.13516656,37.6,6008.06838005698,3.4,3.74,5.33,4.59,3.43,2.85,7.3,3.6,19,418.547731923777,0.0814189786181304,9916.421956178,0,0,1
"2046",130.9224,503.6266361,2.71,9.75,10.27,1.52,0.1,0.44,2.74,4.67,29.48,13.61,9.6,3.17,0.73,1,24.97,4.53,7.91,0.06,1.59,0.34,18.02,7.85,3.44,2.17,5.368790768,12.2,14.33284232,83.01187516,33.4,37662.7249478849,3.41,4.75,3.99,4.11,0.86,2.66,7.7,14.7,0,130.114653971558,0.0484330484330484,8.15360079318229,0,0,0
"2047",114.0625,401.3940698,4.28,11.35,13.31,2.56,0.08,0.79,1.31,4.23,25.61,17.16,10.86,4.39,2.43,0.66,30.58,0.49,6.15,0.1,0.26,0.56,25.89,12.03,1.42,1.67,4.048196949,11.2,1.901036072,77.71659884,38.3,7389.26884367888,3.99,7.34,4.35,2.73,2.63,1.38,3.5,1.2,6,348.256527072017,0.140243902439024,20.7349821051264,0,0,1
"2048",128.6764,532.1255975,3.49,11.97,13.75,2.79,0,0.45,1.6,4.77,25.93,14.24,6.36,3.71,0.73,0.23,31.51,0.47,5.59,0.01,0.07,0.59,22.9,13.15,4.23,1.81,4.009398211,13.3,4.615385824,47.390625,35,41259.3035684853,2.77,4.16,6.13,3,1.97,3.14,6.1,5.9,15,210.42891681342,0.132075471698113,0,0,0,1
"2049",89.1377,490.0171584,4.16,12.41,14.04,1.96,0,0.3,1.34,6.5,28.5,15.47,11.4,5.63,1.12,1.71,27.12,0.35,9.73,0.15,0.16,0.49,11.66,16.23,14.28,4.8,5.309648612,13.5,3.701771392,49.94871338,34,32392.0707760073,4.1,4.29,4.53,4.32,0.4,3.31,5.6,1.4,0,234.84988027261,0.0778232722846235,51.4571148874219,0,0,1
"2050",810.7101,466.6205774,4.22,12.11,13.24,1.71,0.08,1.13,2.71,4.93,27.87,15.84,12.85,5.14,2.09,1.11,27.75,1.41,7.23,0.07,0.22,0.47,23.36,17.01,3.1,1.08,4.519135414,11.2,6.87645287,84.16673458,32.3,11223.7002636331,4.73,3.95,2.9,3.99,0.44,2.71,5.1,3.1,74,164.694336707262,0.0778232722846235,51.4571148874219,0,0,1
"2051",69.88701,394.6083827,4.07,11.25,14,2.2,0,0.06,1.26,4.12,28.15,13.64,10.73,4.55,2.71,2.47,27.21,0.72,8.56,0.25,0,0.58,15.2,14.31,5.99,3.6,5.690376569,14.1,2.361659365,30.94742683,38.6,39422.1126510005,3.3,4.57,4.78,3.55,2.33,2.66,4.6,1.6,0,211.785687746154,0.151609442060086,247.92669489068,0,0,1
